checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
3000,50,0.24130616768292684,0.6754881201069437,0.5990853658536586,baseline,20260424_205340,checkpoint,2026-04-24T20:53:40.846477
2400,40,0.22494788833841467,0.6412362624797476,0.635670731707317,baseline,20260424_205340,checkpoint,2026-04-24T20:53:40.846477
1800,30,0.1932969717987805,0.5727318970517907,0.7134146341463414,baseline,20260424_205340,checkpoint,2026-04-24T20:53:40.846477
1200,20,0.16082316920731707,0.4965977596829987,0.7865853658536586,baseline,20260424_205340,checkpoint,2026-04-24T20:53:40.846477
600,10,0.12433666272865855,0.3985941085896791,0.8414634146341463,baseline,20260424_205340,checkpoint,2026-04-24T20:53:40.846477
120,2,0.10998504649390245,0.3452190435624483,0.8612804878048781,baseline,20260424_205340,checkpoint,2026-04-24T20:53:40.846477
