checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
3000,50,0.23639002416849786,0.6653900485831183,0.5960365853658537,league,20260425_135026,checkpoint,2026-04-25T13:50:26.343083
2400,40,0.22045268404375765,0.6315697353581907,0.6341463414634146,league,20260425_135026,checkpoint,2026-04-25T13:50:26.343083
1800,30,0.18751215636147206,0.5592421909134011,0.7149390243902439,league,20260425_135026,checkpoint,2026-04-25T13:50:26.343083
1200,20,0.15391187229260747,0.4777457588801746,0.7530487804878049,league,20260425_135026,checkpoint,2026-04-25T13:50:26.343083
600,10,0.11854993421453196,0.3774359116951678,0.7987804878048781,league,20260425_135026,checkpoint,2026-04-25T13:50:26.343083
120,2,0.08401778140879988,0.26924937010348643,0.8658536585365854,league,20260425_135026,checkpoint,2026-04-25T13:50:26.343083
