Mins Left,Baseline BS,Hierarchical BS,Baseline ACC,Hierarchical ACC,Baseline LL,Hierarchical LL,LL Improvement %
50,0.2399366783231707,0.24105038086890243,0.5990853658536586,0.6112804878048781,0.672647729466436,0.6789936010239169,-0.9434167811009531
40,0.22480938733231706,0.2254950000762195,0.635670731707317,0.6463414634146342,0.6409621515202244,0.646808968715099,-0.9121938293871442
30,0.1932076093140244,0.18708598478658536,0.7134146341463414,0.7164634146341463,0.5725997828294171,0.5634023614607211,1.606256524102814
20,0.1603796399390244,0.1535725069359756,0.7865853658536586,0.7865853658536586,0.4953192348593229,0.47362809306636366,4.37922460231527
10,0.12455863657012196,0.1249359049847561,0.8414634146341463,0.8414634146341463,0.39919699958595484,0.4117757973166503,-3.1510251188616514
2,0.10966408777439024,0.12368001589939025,0.8612804878048781,0.8612804878048781,0.3438283779657101,0.4585771873614497,-33.37386229567807
