checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
3000,50,0.24131054887195116,0.6804381830390691,0.6219512195121951,team,20260425_155153,checkpoint,2026-04-25T15:51:53.393485
2400,40,0.22591947631097561,0.6487682539629663,0.6432926829268293,team,20260425_155153,checkpoint,2026-04-25T15:51:53.393485
1800,30,0.18758838643292686,0.5662949430260718,0.7149390243902439,team,20260425_155153,checkpoint,2026-04-25T15:51:53.393485
1200,20,0.15405760439024388,0.47578985366837334,0.7865853658536586,team,20260425_155153,checkpoint,2026-04-25T15:51:53.393485
600,10,0.12530908791158538,0.41314901174537744,0.8414634146341463,team,20260425_155153,checkpoint,2026-04-25T15:51:53.393485
120,2,0.1236684574390244,0.4581932035035879,0.8612804878048781,team,20260425_155153,checkpoint,2026-04-25T15:51:53.393485
