checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
3000,50,0.24130534298780487,0.6803409780437409,0.6097560975609756,team,20260425_134505,checkpoint,2026-04-25T13:45:05.784942
2400,40,0.22580185003048778,0.6484980489506862,0.649390243902439,team,20260425_134505,checkpoint,2026-04-25T13:45:05.784942
1800,30,0.18793233452743902,0.5664862870232774,0.7179878048780488,team,20260425_134505,checkpoint,2026-04-25T13:45:05.784942
1200,20,0.15401774911585367,0.4754244988396,0.788109756097561,team,20260425_134505,checkpoint,2026-04-25T13:45:05.784942
600,10,0.1253432361890244,0.4131432475733803,0.8414634146341463,team,20260425_134505,checkpoint,2026-04-25T13:45:05.784942
120,2,0.12380275172256097,0.4595893418404205,0.8612804878048781,team,20260425_134505,checkpoint,2026-04-25T13:45:05.784942
