checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
3000,50,0.23623800571449627,0.6650602811771635,0.5990853658536586,league,20260425_155223,checkpoint,2026-04-25T15:52:23.239420
2400,40,0.22006497466442576,0.6307485415834818,0.6371951219512195,league,20260425_155223,checkpoint,2026-04-25T15:52:23.239420
1800,30,0.18712251820053605,0.5584088767297228,0.725609756097561,league,20260425_155223,checkpoint,2026-04-25T15:52:23.239420
1200,20,0.1540837153134013,0.4782312806392282,0.7530487804878049,league,20260425_155223,checkpoint,2026-04-25T15:52:23.239420
600,10,0.11855659284370901,0.37728504282125047,0.7972560975609756,league,20260425_155223,checkpoint,2026-04-25T15:52:23.239420
120,2,0.08365425523602583,0.2688693284982802,0.8628048780487805,league,20260425_155223,checkpoint,2026-04-25T15:52:23.239420
