checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
3000,50,0.24097901091463414,0.6789007319100467,0.6158536585365854,hierarchical,20260424_205425,checkpoint,2026-04-24T20:54:25.658180
2400,40,0.22534854153963418,0.6464168803388731,0.6432926829268293,hierarchical,20260424_205425,checkpoint,2026-04-24T20:54:25.658180
1800,30,0.18728350442073172,0.5642150635631477,0.7149390243902439,hierarchical,20260424_205425,checkpoint,2026-04-24T20:54:25.658180
1200,20,0.15372810292682926,0.4735856442695712,0.7865853658536586,hierarchical,20260424_205425,checkpoint,2026-04-24T20:54:25.658180
600,10,0.12522010817073173,0.411980770068916,0.8414634146341463,hierarchical,20260424_205425,checkpoint,2026-04-24T20:54:25.658180
120,2,0.1236735256554878,0.4584626889003143,0.8612804878048781,hierarchical,20260424_205425,checkpoint,2026-04-24T20:54:25.658180
