checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
3000,50,0.23597305698421703,0.6645061589715476,0.5884146341463414,baseline,20260424_232536,checkpoint,2026-04-24T23:25:36.482346
2400,40,0.22058584872147993,0.6318085335749652,0.6310975609756098,baseline,20260424_232536,checkpoint,2026-04-24T23:25:36.482346
1800,30,0.18721754138638863,0.5585124686311188,0.7286585365853658,baseline,20260424_232536,checkpoint,2026-04-24T23:25:36.482346
1200,20,0.15429994561187985,0.47846847472977205,0.7560975609756098,baseline,20260424_232536,checkpoint,2026-04-24T23:25:36.482346
600,10,0.11860135029441582,0.3771087968001069,0.7972560975609756,baseline,20260424_232536,checkpoint,2026-04-24T23:25:36.482346
120,2,0.08370057017920114,0.269133259898471,0.8628048780487805,baseline,20260424_232536,checkpoint,2026-04-24T23:25:36.482346
