date,checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
2025-10-07,3000,50,0.2033701824489796,0.59483317687997,0.7074829931972789,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-07,2400,40,0.17751595551020405,0.5367904717889921,0.7687074829931972,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-07,1800,30,0.17397536782312928,0.5226372660018351,0.782312925170068,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-07,1200,20,0.14577101503401357,0.47174734281796865,0.7891156462585034,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-07,600,10,0.16285386632657142,0.6125793908001788,0.782312925170068,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-07,120,2,0.21543880061244897,1.066315985344524,0.7619047619047619,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-27,3000,50,0.21740411479729735,0.6252691568897757,0.668918918918919,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-27,2400,40,0.19483229513513511,0.5837177127057616,0.722972972972973,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-27,1800,30,0.17824493256756754,0.5259049902255776,0.7297297297297297,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-27,1200,20,0.19813048175676354,0.607787762729039,0.7094594594594594,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-27,600,10,0.21148703939192567,0.7357197421867128,0.7162162162162162,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-10-27,120,2,0.23842136317589863,1.470847314094319,0.7432432432432432,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-11-16,3000,50,0.17567308241379312,0.5299462451419025,0.7517241379310344,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-11-16,2400,40,0.1656874053103448,0.5029076331733348,0.7586206896551724,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-11-16,1800,30,0.1658328330344828,0.5177677734673729,0.7655172413793103,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-11-16,1200,20,0.14968606372415175,0.4932590135682825,0.8206896551724138,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-11-16,600,10,0.1641064282069793,0.6823304149671231,0.7931034482758621,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-11-16,120,2,0.19180361993131723,1.13502133077394,0.7931034482758621,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-06,3000,50,0.18064675836734692,0.5467750945921681,0.7619047619047619,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-06,2400,40,0.18608617074829933,0.5852743404267041,0.7755102040816326,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-06,1800,30,0.13763820510204083,0.4520182246764219,0.8503401360544217,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-06,1200,20,0.14144027265306802,0.4886094912206035,0.8299319727891157,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-06,600,10,0.16636929428576872,0.7391188024741828,0.7959183673469388,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-06,120,2,0.22083790870771428,1.336077236097761,0.7619047619047619,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-26,3000,50,0.2087214048344371,0.6056381588091684,0.7086092715231788,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-26,2400,40,0.18194697245033115,0.5583366294586022,0.7615894039735099,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-26,1800,30,0.1509575143708609,0.4841942942701743,0.7880794701986755,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-26,1200,20,0.15846753529803315,0.5632164693412118,0.8145695364238411,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-26,600,10,0.19496591079476155,0.8569514879912584,0.7748344370860927,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2025-12-26,120,2,0.21250100225193377,1.4437569192348387,0.7748344370860927,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2026-01-15,3000,50,0.20009700640522873,0.5843683159104155,0.6993464052287581,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2026-01-15,2400,40,0.17049507450980392,0.5139891996840944,0.7777777777777778,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2026-01-15,1800,30,0.16423778267973857,0.5239000264682688,0.7908496732026143,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2026-01-15,1200,20,0.1760863390196209,0.5807772621933563,0.7777777777777778,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2026-01-15,600,10,0.1973450960131242,0.8261483068847694,0.7647058823529411,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
2026-01-15,120,2,0.24242427470614378,1.5927106603449217,0.738562091503268,hierarchical_sliding,20260424_184353,sliding,2026-04-24T18:43:53.260547
