checkpoint_sec,mins_left,BS,ACC,model,run_id,eval_type,saved_at
3000,50,0.24028095045731707,0.5990853658536586,baseline,20260424_150857,checkpoint,2026-04-24T15:08:57.777896
2400,40,0.22504081478658539,0.635670731707317,baseline,20260424_150857,checkpoint,2026-04-24T15:08:57.777896
1800,30,0.19367395007621951,0.7134146341463414,baseline,20260424_150857,checkpoint,2026-04-24T15:08:57.777896
1200,20,0.16015182812499998,0.7865853658536586,baseline,20260424_150857,checkpoint,2026-04-24T15:08:57.777896
600,10,0.12518978010670734,0.8414634146341463,baseline,20260424_150857,checkpoint,2026-04-24T15:08:57.777896
120,2,0.10982358727134146,0.8612804878048781,baseline,20260424_150857,checkpoint,2026-04-24T15:08:57.777896
