checkpoint_sec,mins_left,BS,ACC,model,run_id,eval_type,saved_at
3000,50,0.23965566882621953,0.5990853658536586,baseline,20260424_200920,checkpoint,2026-04-24T20:09:20.834686
2400,40,0.22491186852134146,0.635670731707317,baseline,20260424_200920,checkpoint,2026-04-24T20:09:20.834686
1800,30,0.19380083765243902,0.7134146341463414,baseline,20260424_200920,checkpoint,2026-04-24T20:09:20.834686
1200,20,0.1600903155487805,0.7865853658536586,baseline,20260424_200920,checkpoint,2026-04-24T20:09:20.834686
600,10,0.12450382774390244,0.8414634146341463,baseline,20260424_200920,checkpoint,2026-04-24T20:09:20.834686
120,2,0.10958974428353659,0.8612804878048781,baseline,20260424_200920,checkpoint,2026-04-24T20:09:20.834686
