checkpoint_sec,mins_left,BS,ACC,model,run_id,eval_type,saved_at
3000,50,0.24103898077743904,0.6173780487804879,hierarchical,20260424_154825,checkpoint,2026-04-24T15:48:25.691837
2400,40,0.22546982010670732,0.6448170731707317,hierarchical,20260424_154825,checkpoint,2026-04-24T15:48:25.691837
1800,30,0.1868465045579268,0.7164634146341463,hierarchical,20260424_154825,checkpoint,2026-04-24T15:48:25.691837
1200,20,0.15382701216463415,0.7865853658536586,hierarchical,20260424_154825,checkpoint,2026-04-24T15:48:25.691837
600,10,0.12503326330792683,0.8414634146341463,hierarchical,20260424_154825,checkpoint,2026-04-24T15:48:25.691837
120,2,0.12354623666158536,0.8612804878048781,hierarchical,20260424_154825,checkpoint,2026-04-24T15:48:25.691837
