checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
3000,50,0.24040965272865855,0.6776117017369322,0.614329268292683,hierarchical,20260424_233803,checkpoint,2026-04-24T23:38:03.517209
2400,40,0.22536824940548783,0.6465660950644385,0.6448170731707317,hierarchical,20260424_233803,checkpoint,2026-04-24T23:38:03.517209
1800,30,0.18684485519817073,0.5634655798519265,0.7149390243902439,hierarchical,20260424_233803,checkpoint,2026-04-24T23:38:03.517209
1200,20,0.1537405492682927,0.4741215512988925,0.7865853658536586,hierarchical,20260424_233803,checkpoint,2026-04-24T23:38:03.517209
600,10,0.12503799012195121,0.41179727726170406,0.8414634146341463,hierarchical,20260424_233803,checkpoint,2026-04-24T23:38:03.517209
120,2,0.12365590839939024,0.46564372423824324,0.8612804878048781,hierarchical,20260424_233803,checkpoint,2026-04-24T23:38:03.517209
