checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
3000,50,0.24107422964939026,0.6790816070966346,0.6158536585365854,hierarchical,20260424_212807,checkpoint,2026-04-24T21:28:07.667485
2400,40,0.22545329124999997,0.6470176790069926,0.6463414634146342,hierarchical,20260424_212807,checkpoint,2026-04-24T21:28:07.667485
1800,30,0.18723095429878048,0.564163621762407,0.7134146341463414,hierarchical,20260424_212807,checkpoint,2026-04-24T21:28:07.667485
1200,20,0.15362348353658536,0.4734366595834008,0.7865853658536586,hierarchical,20260424_212807,checkpoint,2026-04-24T21:28:07.667485
600,10,0.12482340475609756,0.4104107540085168,0.8414634146341463,hierarchical,20260424_212807,checkpoint,2026-04-24T21:28:07.667485
120,2,0.12366433204268293,0.45897444890061984,0.8612804878048781,hierarchical,20260424_212807,checkpoint,2026-04-24T21:28:07.667485
